,Store,Minimum_WAPE,Revenue_next_month,Best_param_SARIMAX
0,25,2.25,345046,"(1, 1, 2, 0, 0, 0, 12)"
1,94,1.62,235298,"(1, 2, 2, 0, 1, 0, 12)"
2,116,0.96,226346,"(1, 1, 2, 0, 1, 2, 12)"
3,155,1.17,225740,"(2, 1, 2, 1, 0, 1, 12)"
4,174,3.69,192380,"(2, 1, 2, 0, 0, 0, 12)"
5,192,3.23,409732,"(0, 1, 1, 0, 0, 0, 12)"
6,325,2.29,186931,"(0, 0, 0, 1, 0, 1, 12)"
7,349,1.28,278759,"(1, 1, 1, 1, 0, 0, 12)"
8,376,2.71,264041,"(0, 1, 1, 0, 0, 0, 12)"
9,394,1.27,276194,"(0, 1, 2, 1, 0, 1, 12)"
10,417,1.18,218895,"(0, 0, 0, 1, 0, 0, 12)"
11,438,1.86,182319,"(1, 2, 2, 1, 0, 1, 12)"
12,473,1.78,107526,"(0, 1, 1, 1, 0, 1, 12)"
13,484,3.09,235337,"(0, 2, 1, 1, 0, 1, 12)"
14,536,1.11,260593,"(1, 1, 1, 0, 1, 2, 12)"
15,601,1.4,154376,"(0, 1, 2, 1, 0, 1, 12)"
16,629,6.15,195533,"(0, 1, 0, 0, 0, 0, 12)"
17,757,1.62,218581,"(0, 1, 0, 0, 1, 0, 12)"
18,767,0.86,193290,"(1, 1, 1, 1, 0, 1, 12)"
19,795,0.79,136871,"(1, 1, 1, 0, 1, 1, 12)"
20,807,1.58,316756,"(2, 0, 1, 0, 1, 0, 12)"
21,824,2.21,231035,"(0, 0, 2, 1, 1, 0, 12)"
22,841,4.11,84515,"(1, 2, 1, 0, 1, 0, 12)"
23,934,2.08,216329,"(2, 1, 2, 0, 0, 0, 12)"
24,941,3.54,169720,"(1, 0, 2, 0, 0, 0, 12)"
25,942,1.91,199971,"(0, 0, 1, 1, 0, 1, 12)"
26,1045,2.41,283457,"(0, 1, 1, 1, 0, 1, 12)"
27,1081,10.01,144042,"(0, 1, 1, 1, 0, 0, 12)"
